,Source,Target,Weight,Type
1,AnneBronte_Tenant,main_oct1,1,undirected
2,AnneBronte_Tenant,main_oct5,1,undirected
3,AnneBronte_Tenant,novel_oct3,5,undirected
4,AnneBronte_Tenant,novel_oct4,3,undirected
5,AnneBronte_Tenant,novel_oct5,2,undirected
6,main_oct1,AnneBronte_Tenant,1,undirected
7,main_oct1,main_oct2,6,undirected
8,main_oct1,main_oct3,5,undirected
9,main_oct1,main_oct5,9,undirected
10,main_oct1,main_oct6,5,undirected
11,main_oct1,main_oct7,2,undirected
12,main_oct1,novel_oct1,8,undirected
13,main_oct1,novel_oct2,1,undirected
14,main_oct1,novel_oct4,5,undirected
15,main_oct1,novel_oct5,1,undirected
16,main_oct2,main_oct1,6,undirected
17,main_oct2,main_oct3,3,undirected
18,main_oct2,main_oct5,2,undirected
19,main_oct2,novel_oct4,1,undirected
20,main_oct3,main_oct1,5,undirected
21,main_oct3,main_oct2,3,undirected
22,main_oct3,main_oct4,5,undirected
23,main_oct3,main_oct5,6,undirected
24,main_oct3,main_oct6,4,undirected
25,main_oct3,main_oct7,3,undirected
26,main_oct3,novel_oct2,1,undirected
27,main_oct3,novel_oct3,1,undirected
28,main_oct4,main_oct3,5,undirected
29,main_oct4,main_oct5,5,undirected
30,main_oct4,novel_oct2,1,undirected
31,main_oct4,novel_oct3,1,undirected
32,main_oct5,AnneBronte_Tenant,1,undirected
33,main_oct5,main_oct1,9,undirected
34,main_oct5,main_oct2,2,undirected
35,main_oct5,main_oct3,6,undirected
36,main_oct5,main_oct4,5,undirected
37,main_oct5,main_oct7,6,undirected
38,main_oct5,novel_oct3,12,undirected
39,main_oct5,novel_oct5,3,undirected
40,main_oct5,novel_oct6,1,undirected
41,main_oct6,main_oct1,5,undirected
42,main_oct6,main_oct3,4,undirected
43,main_oct6,novel_oct3,3,undirected
44,main_oct7,main_oct1,2,undirected
45,main_oct7,main_oct3,3,undirected
46,main_oct7,main_oct5,6,undirected
47,main_oct7,novel_oct3,1,undirected
48,novel_oct1,main_oct1,8,undirected
49,novel_oct1,novel_oct2,7,undirected
50,novel_oct1,novel_oct3,3,undirected
51,novel_oct1,novel_oct4,2,undirected
52,novel_oct1,novel_oct5,12,undirected
53,novel_oct1,novel_oct6,7,undirected
54,novel_oct2,main_oct1,1,undirected
55,novel_oct2,main_oct3,1,undirected
56,novel_oct2,main_oct4,1,undirected
57,novel_oct2,novel_oct1,7,undirected
58,novel_oct2,novel_oct4,3,undirected
59,novel_oct2,novel_oct5,7,undirected
60,novel_oct2,novel_oct6,4,undirected
61,novel_oct3,AnneBronte_Tenant,5,undirected
62,novel_oct3,main_oct3,1,undirected
63,novel_oct3,main_oct4,1,undirected
64,novel_oct3,main_oct5,12,undirected
65,novel_oct3,main_oct6,3,undirected
66,novel_oct3,main_oct7,1,undirected
67,novel_oct3,novel_oct1,3,undirected
68,novel_oct3,novel_oct5,3,undirected
69,novel_oct3,novel_oct6,2,undirected
70,novel_oct4,AnneBronte_Tenant,3,undirected
71,novel_oct4,main_oct1,5,undirected
72,novel_oct4,main_oct2,1,undirected
73,novel_oct4,novel_oct1,2,undirected
74,novel_oct4,novel_oct2,3,undirected
75,novel_oct4,novel_oct5,3,undirected
76,novel_oct5,AnneBronte_Tenant,2,undirected
77,novel_oct5,main_oct1,1,undirected
78,novel_oct5,main_oct5,3,undirected
79,novel_oct5,novel_oct1,12,undirected
80,novel_oct5,novel_oct2,7,undirected
81,novel_oct5,novel_oct3,3,undirected
82,novel_oct5,novel_oct4,3,undirected
83,novel_oct5,novel_oct6,2,undirected
84,novel_oct6,main_oct5,1,undirected
85,novel_oct6,novel_oct1,7,undirected
86,novel_oct6,novel_oct2,4,undirected
87,novel_oct6,novel_oct3,2,undirected
88,novel_oct6,novel_oct5,2,undirected
