,Source,Target,Weight,Type
1,Dostoevsky_BednieLyudi,Dostoevsky_Besy,5,undirected
2,Dostoevsky_BednieLyudi,Dostoevsky_PrestuplenieINakazanie,9,undirected
3,Dostoevsky_BednieLyudi,Dostoevsky_UnijennieIOskorblennie,13,undirected
4,Dostoevsky_BednieLyudi,Goncharov_ObyknovennayaIstoriya,3,undirected
5,Dostoevsky_Besy,Dostoevsky_BednieLyudi,5,undirected
6,Dostoevsky_Besy,Dostoevsky_PrestuplenieINakazanie,30,undirected
7,Dostoevsky_Besy,Dostoevsky_UnijennieIOskorblennie,20,undirected
8,Dostoevsky_Besy,Turgenev_Dym,6,undirected
9,Dostoevsky_PrestuplenieINakazanie,Dostoevsky_BednieLyudi,9,undirected
10,Dostoevsky_PrestuplenieINakazanie,Dostoevsky_Besy,30,undirected
11,Dostoevsky_PrestuplenieINakazanie,Dostoevsky_UnijennieIOskorblennie,25,undirected
12,Dostoevsky_PrestuplenieINakazanie,Goncharov_ObyknovennayaIstoriya,1,undirected
13,Dostoevsky_PrestuplenieINakazanie,Turgenev_Dym,3,undirected
14,Dostoevsky_PrestuplenieINakazanie,Turgenev_OtsyIDeti,1,undirected
15,Dostoevsky_UnijennieIOskorblennie,Dostoevsky_BednieLyudi,13,undirected
16,Dostoevsky_UnijennieIOskorblennie,Dostoevsky_Besy,20,undirected
17,Dostoevsky_UnijennieIOskorblennie,Dostoevsky_PrestuplenieINakazanie,25,undirected
18,Dostoevsky_UnijennieIOskorblennie,Goncharov_ObyknovennayaIstoriya,4,undirected
19,Dostoevsky_UnijennieIOskorblennie,Tolstoy_SemeynoeShastye,10,undirected
20,Dostoevsky_UnijennieIOskorblennie,Turgenev_OtsyIDeti,1,undirected
21,Goncharov_Oblomov,Goncharov_Obryv,30,undirected
22,Goncharov_Oblomov,Goncharov_ObyknovennayaIstoriya,25,undirected
23,Goncharov_Oblomov,Turgenev_OtsyIDeti,5,undirected
24,Goncharov_Obryv,Goncharov_Oblomov,30,undirected
25,Goncharov_Obryv,Goncharov_ObyknovennayaIstoriya,20,undirected
26,Goncharov_Obryv,Turgenev_DvoryanskoeGnezdo,5,undirected
27,Goncharov_Obryv,Turgenev_Dym,7,undirected
