,Source,Target,Weight,Type
1,Dostoevsky_BednieLyudi,Dostoevsky_Besy,1,undirected
2,Dostoevsky_BednieLyudi,Dostoevsky_PrestuplenieINakazanie,2,undirected
3,Dostoevsky_BednieLyudi,Dostoevsky_UnijennieIOskorblennie,3,undirected
4,Dostoevsky_Besy,Dostoevsky_BednieLyudi,1,undirected
5,Dostoevsky_Besy,Dostoevsky_PrestuplenieINakazanie,6,undirected
6,Dostoevsky_Besy,Dostoevsky_UnijennieIOskorblennie,4,undirected
7,Dostoevsky_Besy,Turgenev_Dym,1,undirected
8,Dostoevsky_PrestuplenieINakazanie,Dostoevsky_BednieLyudi,2,undirected
9,Dostoevsky_PrestuplenieINakazanie,Dostoevsky_Besy,6,undirected
10,Dostoevsky_PrestuplenieINakazanie,Dostoevsky_UnijennieIOskorblennie,5,undirected
11,Dostoevsky_PrestuplenieINakazanie,Turgenev_OtsyIDeti,1,undirected
12,Dostoevsky_UnijennieIOskorblennie,Dostoevsky_BednieLyudi,3,undirected
13,Dostoevsky_UnijennieIOskorblennie,Dostoevsky_Besy,4,undirected
14,Dostoevsky_UnijennieIOskorblennie,Dostoevsky_PrestuplenieINakazanie,5,undirected
15,Dostoevsky_UnijennieIOskorblennie,Tolstoy_SemeynoeShastye,3,undirected
16,Dostoevsky_UnijennieIOskorblennie,Turgenev_OtsyIDeti,1,undirected
17,Goncharov_Oblomov,Goncharov_Obryv,6,undirected
18,Goncharov_Oblomov,Goncharov_ObyknovennayaIstoriya,5,undirected
19,Goncharov_Oblomov,Turgenev_OtsyIDeti,1,undirected
20,Goncharov_Obryv,Goncharov_Oblomov,6,undirected
21,Goncharov_Obryv,Goncharov_ObyknovennayaIstoriya,4,undirected
22,Goncharov_Obryv,Turgenev_DvoryanskoeGnezdo,1,undirected
23,Goncharov_Obryv,Turgenev_Dym,1,undirected
24,Goncharov_Obryv,Turgenev_OtsyIDeti,2,undirected
25,Goncharov_ObyknovennayaIstoriya,Goncharov_Oblomov,5,undirected
26,Goncharov_ObyknovennayaIstoriya,Goncharov_Obryv,4,undirected
27,Goncharov_ObyknovennayaIstoriya,Turgenev_OtsyIDeti,1,undirected
28,Tolstoy_AnnaKarenina,Tolstoy_SemeynoeShastye,1,undirected
29,Tolstoy_AnnaKarenina,Tolstoy_VoinaIMir,5,undirected
30,Tolstoy_AnnaKarenina,Tolstoy_Voskresenie,6,undirected
31,Tolstoy_AnnaKarenina,Turgenev_OtsyIDeti,1,undirected
32,Tolstoy_SemeynoeShastye,Dostoevsky_UnijennieIOskorblennie,3,undirected
33,Tolstoy_SemeynoeShastye,Tolstoy_AnnaKarenina,1,undirected
34,Tolstoy_SemeynoeShastye,Tolstoy_Voskresenie,2,undirected
35,Tolstoy_VoinaIMir,Tolstoy_AnnaKarenina,5,undirected
36,Tolstoy_VoinaIMir,Tolstoy_Voskresenie,4,undirected
37,Tolstoy_VoinaIMir,Turgenev_OtsyIDeti,1,undirected
38,Tolstoy_Voskresenie,Tolstoy_AnnaKarenina,6,undirected
39,Tolstoy_Voskresenie,Tolstoy_SemeynoeShastye,2,undirected
40,Tolstoy_Voskresenie,Tolstoy_VoinaIMir,4,undirected
41,Tolstoy_Voskresenie,Turgenev_OtsyIDeti,1,undirected
42,Turgenev_DvoryanskoeGnezdo,Goncharov_Obryv,1,undirected
43,Turgenev_DvoryanskoeGnezdo,Turgenev_Dym,4,undirected
44,Turgenev_DvoryanskoeGnezdo,Turgenev_OtsyIDeti,5,undirected
45,Turgenev_Dym,Dostoevsky_Besy,1,undirected
46,Turgenev_Dym,Goncharov_Obryv,1,undirected
47,Turgenev_Dym,Turgenev_DvoryanskoeGnezdo,4,undirected
48,Turgenev_Dym,Turgenev_OtsyIDeti,6,undirected
49,Turgenev_OtsyIDeti,Dostoevsky_PrestuplenieINakazanie,1,undirected
50,Turgenev_OtsyIDeti,Dostoevsky_UnijennieIOskorblennie,1,undirected
51,Turgenev_OtsyIDeti,Goncharov_Oblomov,1,undirected
52,Turgenev_OtsyIDeti,Goncharov_Obryv,2,undirected
53,Turgenev_OtsyIDeti,Goncharov_ObyknovennayaIstoriya,1,undirected
54,Turgenev_OtsyIDeti,Tolstoy_AnnaKarenina,1,undirected
55,Turgenev_OtsyIDeti,Tolstoy_VoinaIMir,1,undirected
56,Turgenev_OtsyIDeti,Tolstoy_Voskresenie,1,undirected
57,Turgenev_OtsyIDeti,Turgenev_DvoryanskoeGnezdo,5,undirected
58,Turgenev_OtsyIDeti,Turgenev_Dym,6,undirected
